keys,es,en
TABURETE,"Qué pasa, taburete? TABURRES?","What’s up, stool? Feeling stoolpid?"
ZZZ,ZZzzzZzZZzZ,ZZzzzZzZZzZ
ETERUBAT,"?SERRUBAT ?eterubat ,asap euQ","?diploots gnileeF ?loots ,pu s’tahW"
OTILUC,"otiluc ayav ...on is euq,oluc le ev em es on euqrop Y .retsoP le ne ev em es apuog euq ,onamreh ,soiD",""".ttub a tahw ...erew ti fi ,nwohs t'nsi ttub ym esuaceb dnA .retsop eht ni emosdo h os kool I ,rehtorb ,doG"
ME_CAGO,ME CAGO,I SHIT MYSELF
PARED,"Otia, una pared","Wow, a wall"
VENTANA_FUERA,Hostia.... eso que se ve desde aquí es rarísimo. La gente tira cualquier porquería al suelo,Damn... that thing you can see from here is really weird. People throw any garbage on the floor.
VENTANA_ABIERTA,Ni de coña salgo por una ventana abierta.,No way I'm going out through an open window.
VENTANA_DENTRO,MI CASA ILLO,DUDE MA HOUSE
CORDELILLO,"Que hace aquí el cordelillo de bajar la persiana? Por la cara. Y la músia tétrica esta? Hermano, cabeza fría, te lo juro",What is this blind cord doing here? no reason for it. And this creepy music? I'm SO scared
NOTHING,...,...
ESPEJO,"Y ese espejo? no me veo reflejado, por la cara...","And that mirror? I can’t see my reflection, for no reason..."
ORDEN,Ese es el orden en el que me visto todos los días...,This is the order I get dressed every day...
DESPERTE,"Uf, por fin. Me desperté. Me desperté? %*%*(@#","Ugh, finally. I woke up. Did I wake up? %%(@#"
START_0,"Hola, soy LMDSHOW... Estás atrapado en un sueño. Lo sé, rarete, no? Pero quiero ayudarte.","Hello, I'm LMDSHOW... You are trapped in a dream. I know, weird, right? But I want to help you."
START_1,"La clave para despertar es hacer cosas inusuales e ilógicas, cosas que no harías en la vida real.","The key to waking up is to do unusual and illogical things, things you wouldn't do in real life."
START_2,"Y... por dónde empezar? Tal vez, ese.... ese armario.","And... where to start? Maybe, that... that closet."
START_3,Y... en qué orden te vistes todos los días?,And... in what order do you dress every day?
START_4,Espero que esto te guíe hacia la luz de la realidad. AIIIPS,I hope this guides you towards the light of reality. AIIIPS!
SECONDS_0,Deja pulsado durante 3 segundos sobre una acción y...,Hold down on an action for 3 seconds and...
SECONDS_1,Cambiarás a una acción alternativa.,You'll switch to an alternative action.
SECONDS_2,Deja pulsado durante 3 segundos otra vez y volverás a la acción original.,Hold down for 3 seconds again and you'll return to the original action.
QUITADO,No me puedo quitar lo que ya me he quitado... espabila.,I can't take off what I've already taken off... pls
CULITO,"Dios, hermano, qué guapo se me ve en el poster. Y porque no se me ve el culo, si no... vaya culito","God, brother, I look so handsome in the poster. And because my butt isn't shown, if it were... what a butt."
